SessionID,DeviceType,Country,ReferralSource,Purchased,MaxStepOrder,Timestamp,furthest_step
session_0,Desktop,India,Social Media,0,0,2025-01-20 22:53:34,home
session_1,Tablet,Germany,Email,0,1,2025-02-26 12:57:10,product_page
session_10,Tablet,India,Direct,0,1,2025-05-17 22:11:37,product_page
session_100,Desktop,USA,Email,0,1,2025-04-02 11:24:36,product_page
session_1000,Mobile,France,Email,1,4,2025-08-25 09:34:15,confirmation
session_1001,Desktop,Germany,Direct,0,2,2025-03-27 20:11:23,cart
session_1002,Mobile,Canada,Direct,1,4,2025-02-11 10:53:09,confirmation
session_1003,Mobile,India,Social Media,0,1,2025-07-27 22:14:11,product_page
session_1004,Mobile,Canada,Social Media,0,0,2025-03-05 13:49:21,home
session_1005,Tablet,Germany,Google,0,1,2025-06-27 11:42:03,product_page
session_1006,Mobile,USA,Email,0,0,2025-01-03 08:21:05,home
session_1007,Mobile,France,Social Media,1,4,2025-01-20 23:48:43,confirmation
session_1008,Tablet,Canada,Social Media,0,1,2025-02-23 05:15:15,product_page
session_1009,Tablet,Australia,Social Media,0,2,2025-08-16 07:49:32,cart
session_101,Mobile,France,Direct,1,4,2025-04-14 06:47:08,confirmation
session_1010,Mobile,Canada,Social Media,0,2,2025-03-29 09:27:40,cart
session_1011,Desktop,Germany,Direct,0,1,2025-03-13 12:16:14,product_page
session_1012,Desktop,USA,Social Media,0,1,2025-04-13 01:30:35,product_page
session_1013,Mobile,France,Google,0,1,2025-02-02 15:50:12,product_page
session_1014,Desktop,Germany,Social Media,0,1,2025-03-05 17:25:17,product_page
session_1015,Mobile,Australia,Google,1,4,2025-01-19 08:34:02,confirmation
session_1016,Tablet,France,Direct,0,3,2025-07-09 17:47:10,checkout
session_1017,Tablet,Canada,Google,0,1,2025-05-09 06:39:16,product_page
session_1018,Tablet,France,Email,1,4,2025-05-12 17:24:26,confirmation
session_1019,Mobile,India,Social Media,1,4,2025-07-07 18:47:26,confirmation
session_102,Desktop,Australia,Direct,0,1,2025-02-12 23:06:34,product_page
session_1020,Mobile,Germany,Direct,0,1,2025-05-14 08:16:26,product_page
session_1021,Tablet,France,Direct,0,1,2025-07-12 19:48:40,product_page
session_1022,Tablet,USA,Social Media,1,4,2025-08-24 03:45:43,confirmation
session_1023,Desktop,France,Social Media,0,2,2025-04-29 01:28:02,cart
session_1024,Tablet,France,Google,0,1,2025-03-18 00:25:48,product_page
session_1025,Tablet,Australia,Direct,1,4,2025-01-23 17:20:14,confirmation
session_1026,Mobile,USA,Social Media,0,1,2025-02-22 18:50:18,product_page
session_1027,Mobile,France,Google,1,4,2025-04-30 22:36:42,confirmation
session_1028,Tablet,Australia,Google,1,4,2025-07-24 11:14:46,confirmation
session_1029,Desktop,France,Google,0,1,2025-06-03 23:29:35,product_page
session_103,Desktop,France,Social Media,0,1,2025-01-10 20:14:17,product_page
session_1030,Desktop,UK,Direct,0,1,2025-04-20 23:26:41,product_page
session_1031,Mobile,USA,Direct,1,4,2025-08-14 07:16:44,confirmation
session_1032,Mobile,India,Email,1,4,2025-08-06 12:57:39,confirmation
session_1033,Desktop,India,Direct,1,4,2025-04-13 11:48:04,confirmation
session_1034,Desktop,Canada,Email,0,1,2025-01-28 20:52:53,product_page
session_1035,Tablet,Australia,Google,0,1,2025-01-01 12:08:37,product_page
session_1036,Tablet,France,Social Media,0,1,2025-02-17 00:12:00,product_page
session_1037,Mobile,Germany,Email,0,1,2025-07-07 08:26:59,product_page
session_1038,Mobile,India,Social Media,1,4,2025-04-03 11:06:09,confirmation
session_1039,Desktop,Germany,Social Media,0,2,2025-03-06 23:22:43,cart
session_104,Tablet,UK,Social Media,0,1,2025-07-22 13:46:16,product_page
session_1040,Mobile,USA,Email,1,4,2025-04-19 16:51:08,confirmation
session_1041,Mobile,USA,Email,0,2,2025-05-06 23:36:39,cart
session_1042,Tablet,Australia,Social Media,0,0,2025-03-01 04:50:01,home
session_1043,Tablet,Canada,Email,0,0,2025-08-22 06:25:08,home
session_1044,Tablet,UK,Direct,0,1,2025-07-29 02:14:11,product_page
session_1045,Mobile,USA,Direct,1,4,2025-08-16 12:12:29,confirmation
session_1046,Mobile,USA,Email,0,1,2025-05-30 02:48:38,product_page
session_1047,Mobile,France,Email,0,1,2025-01-25 23:31:55,product_page
session_1048,Desktop,Canada,Direct,0,1,2025-04-09 16:49:27,product_page
session_1049,Desktop,USA,Google,1,4,2025-05-18 08:57:16,confirmation
session_105,Mobile,Canada,Social Media,0,1,2025-02-28 20:54:48,product_page
session_1050,Tablet,India,Direct,0,1,2025-04-17 04:11:10,product_page
session_1051,Mobile,UK,Direct,1,4,2025-05-17 11:05:23,confirmation
session_1052,Mobile,Australia,Email,0,3,2025-05-21 08:01:00,checkout
session_1053,Desktop,France,Google,0,2,2025-05-08 04:39:31,cart
session_1054,Desktop,Canada,Email,1,4,2025-04-11 17:57:23,confirmation
session_1055,Tablet,USA,Google,0,1,2025-01-01 05:00:01,product_page
session_1056,Mobile,India,Direct,0,1,2025-05-08 20:30:16,product_page
session_1057,Mobile,UK,Direct,0,1,2025-07-10 11:59:40,product_page
session_1058,Tablet,UK,Social Media,0,1,2025-01-04 09:16:20,product_page
session_1059,Mobile,Canada,Google,0,1,2025-03-17 12:12:56,product_page
session_106,Desktop,UK,Google,0,1,2025-01-26 20:08:51,product_page
session_1060,Tablet,USA,Direct,0,1,2025-02-11 03:56:07,product_page
session_1061,Mobile,USA,Social Media,1,4,2025-05-27 16:29:20,confirmation
session_1062,Mobile,France,Google,1,4,2025-01-06 04:50:38,confirmation
session_1063,Mobile,Germany,Social Media,0,1,2025-07-04 20:08:16,product_page
session_1064,Desktop,USA,Email,0,1,2025-08-13 14:48:20,product_page
session_1065,Tablet,France,Google,0,0,2025-03-24 07:15:53,home
session_1066,Tablet,Australia,Google,0,1,2025-01-28 20:20:57,product_page
session_1067,Mobile,Australia,Google,0,0,2025-02-04 21:52:32,home
session_1068,Tablet,Germany,Direct,0,1,2025-08-24 18:18:04,product_page
session_1069,Tablet,Germany,Direct,0,1,2025-07-23 03:18:17,product_page
session_107,Mobile,UK,Email,0,1,2025-01-02 05:30:07,product_page
session_1070,Tablet,India,Social Media,0,2,2025-04-30 14:49:17,cart
session_1071,Desktop,Germany,Social Media,0,1,2025-02-27 03:03:27,product_page
session_1072,Mobile,USA,Google,0,1,2025-07-23 17:27:43,product_page
session_1073,Mobile,UK,Google,1,4,2025-01-07 04:40:36,confirmation
session_1074,Desktop,France,Direct,1,4,2025-07-26 17:28:22,confirmation
session_1075,Desktop,Australia,Google,0,1,2025-02-13 01:15:13,product_page
session_1076,Desktop,UK,Google,0,1,2025-02-06 13:39:51,product_page
session_1077,Desktop,Australia,Google,0,0,2025-08-27 15:06:44,home
session_1078,Desktop,Germany,Email,0,0,2025-07-12 15:30:28,home
session_1079,Mobile,UK,Direct,0,1,2025-07-14 03:19:39,product_page
session_108,Mobile,Canada,Email,0,1,2025-02-21 13:57:38,product_page
session_1080,Tablet,Germany,Social Media,0,2,2025-05-31 00:16:02,cart
session_1081,Tablet,UK,Google,0,0,2025-04-21 03:29:55,home
session_1082,Mobile,Germany,Google,0,0,2025-03-31 03:00:13,home
session_1083,Tablet,USA,Direct,0,1,2025-04-07 18:13:46,product_page
session_1084,Desktop,Australia,Email,0,0,2025-05-31 04:01:09,home
session_1085,Mobile,UK,Direct,0,2,2025-01-11 04:27:52,cart
session_1086,Mobile,India,Social Media,0,0,2025-04-14 15:24:24,home
session_1087,Mobile,France,Email,0,1,2025-04-30 11:18:19,product_page
session_1088,Desktop,UK,Google,1,4,2025-04-25 07:22:41,confirmation
session_1089,Tablet,Germany,Google,0,0,2025-02-03 08:57:13,home
session_109,Mobile,Canada,Google,1,4,2025-07-30 14:11:29,confirmation
session_1090,Mobile,Australia,Google,0,1,2025-02-07 02:36:06,product_page
session_1091,Desktop,Canada,Email,0,1,2025-05-24 22:17:17,product_page
session_1092,Desktop,Germany,Email,0,1,2025-08-26 00:54:50,product_page
session_1093,Desktop,USA,Direct,0,1,2025-05-10 11:35:13,product_page
session_1094,Mobile,Germany,Google,0,0,2025-05-26 22:54:50,home
session_1095,Tablet,USA,Direct,0,1,2025-03-08 08:19:55,product_page
session_1096,Tablet,France,Email,0,1,2025-02-16 11:03:21,product_page
session_1097,Mobile,India,Direct,0,0,2025-05-24 10:50:25,home
session_1098,Tablet,USA,Google,0,1,2025-06-08 04:07:21,product_page
session_1099,Desktop,Australia,Direct,0,0,2025-08-04 21:20:58,home
session_11,Tablet,USA,Direct,0,2,2025-06-11 20:27:05,cart
session_110,Tablet,Canada,Direct,1,4,2025-01-30 08:29:05,confirmation
session_1100,Mobile,Germany,Social Media,1,4,2025-07-29 13:25:47,confirmation
session_1101,Tablet,Canada,Google,0,0,2025-08-13 21:20:28,home
session_1102,Tablet,France,Email,0,0,2025-06-04 20:23:48,home
session_1103,Desktop,India,Social Media,0,0,2025-03-26 15:15:04,home
session_1104,Desktop,India,Google,0,1,2025-05-12 16:50:58,product_page
session_1105,Mobile,UK,Google,0,1,2025-02-12 07:45:46,product_page
session_1106,Desktop,India,Google,0,1,2025-08-23 07:47:50,product_page
session_1107,Desktop,France,Direct,0,1,2025-07-22 15:28:06,product_page
session_1108,Mobile,France,Direct,1,4,2025-05-17 04:56:50,confirmation
session_1109,Tablet,India,Google,0,1,2025-07-31 16:07:04,product_page
session_111,Desktop,Germany,Email,0,1,2025-08-27 10:04:00,product_page
session_1110,Mobile,USA,Social Media,1,4,2025-01-17 20:28:51,confirmation
session_1111,Desktop,Germany,Email,1,4,2025-04-05 07:22:15,confirmation
session_1112,Desktop,France,Direct,1,4,2025-08-19 03:29:33,confirmation
session_1113,Tablet,India,Google,0,0,2025-07-08 12:44:08,home
session_1114,Desktop,UK,Google,0,1,2025-06-24 13:11:38,product_page
session_1115,Tablet,Australia,Google,1,4,2025-08-10 10:08:13,confirmation
session_1116,Desktop,Canada,Email,1,4,2025-07-22 08:03:08,confirmation
session_1117,Tablet,USA,Google,1,4,2025-05-14 17:11:31,confirmation
session_1118,Mobile,France,Direct,1,4,2025-04-27 09:22:43,confirmation
session_1119,Desktop,USA,Email,0,3,2025-03-16 05:41:47,checkout
session_112,Tablet,Canada,Social Media,0,1,2025-06-22 06:14:23,product_page
session_1120,Mobile,UK,Email,0,1,2025-08-11 13:34:39,product_page
session_1121,Mobile,Germany,Social Media,0,2,2025-01-03 17:49:27,cart
session_1122,Mobile,Germany,Direct,0,1,2025-02-02 19:04:01,product_page
session_1123,Mobile,France,Google,0,1,2025-06-03 17:05:22,product_page
session_1124,Desktop,USA,Social Media,0,1,2025-03-26 01:55:11,product_page
session_1125,Desktop,India,Direct,1,4,2025-05-21 19:51:45,confirmation
session_1126,Mobile,Canada,Direct,0,0,2025-04-23 12:45:30,home
session_1127,Desktop,France,Google,0,0,2025-06-25 23:52:10,home
session_1128,Mobile,Canada,Direct,1,4,2025-06-20 23:56:18,confirmation
session_1129,Mobile,France,Google,0,2,2025-08-03 12:11:21,cart
session_113,Tablet,UK,Email,0,1,2025-01-24 01:46:09,product_page
session_1130,Mobile,India,Email,1,4,2025-01-29 11:20:30,confirmation
session_1131,Mobile,Canada,Google,0,1,2025-01-10 03:41:06,product_page
session_1132,Desktop,India,Email,1,4,2025-03-21 10:24:51,confirmation
session_1133,Desktop,Canada,Direct,0,1,2025-04-07 14:31:07,product_page
session_1134,Mobile,France,Google,1,4,2025-04-13 08:55:03,confirmation
session_1135,Tablet,Canada,Social Media,0,1,2025-07-06 19:09:22,product_page
session_1136,Mobile,Australia,Direct,0,1,2025-08-09 09:34:17,product_page
session_1137,Mobile,France,Email,1,4,2025-07-31 07:30:50,confirmation
session_1138,Tablet,Canada,Google,0,1,2025-01-22 05:38:41,product_page
session_1139,Mobile,Germany,Google,0,2,2025-08-13 07:46:18,cart
session_114,Mobile,Germany,Email,0,1,2025-03-07 16:44:46,product_page
session_1140,Mobile,UK,Direct,0,0,2025-07-07 04:09:36,home
session_1141,Tablet,USA,Email,1,4,2025-03-30 00:02:15,confirmation
session_1142,Tablet,Canada,Email,0,1,2025-03-20 03:47:31,product_page
session_1143,Desktop,Germany,Email,0,3,2025-07-11 05:51:34,checkout
session_1144,Desktop,Australia,Email,0,1,2025-01-23 21:38:36,product_page
session_1145,Desktop,France,Email,0,3,2025-06-18 17:36:06,checkout
session_1146,Mobile,USA,Social Media,1,4,2025-06-13 17:18:34,confirmation
session_1147,Desktop,Australia,Social Media,1,4,2025-03-20 11:49:36,confirmation
session_1148,Desktop,Australia,Email,0,1,2025-06-28 03:46:20,product_page
session_1149,Tablet,Germany,Social Media,0,2,2025-07-12 02:59:48,cart
session_115,Tablet,UK,Direct,0,1,2025-04-17 22:20:10,product_page
session_1150,Tablet,India,Email,0,0,2025-06-23 19:45:50,home
session_1151,Mobile,France,Direct,1,4,2025-05-01 14:01:47,confirmation
session_1152,Tablet,UK,Social Media,0,1,2025-02-28 04:57:04,product_page
session_1153,Mobile,UK,Social Media,0,1,2025-01-29 06:47:08,product_page
session_1154,Desktop,Germany,Email,0,1,2025-05-24 03:08:44,product_page
session_1155,Desktop,UK,Social Media,1,4,2025-02-11 15:47:51,confirmation
session_1156,Mobile,France,Social Media,0,0,2025-03-12 06:36:53,home
session_1157,Mobile,France,Direct,0,1,2025-04-10 23:31:18,product_page
session_1158,Mobile,India,Google,0,1,2025-02-26 14:06:58,product_page
session_1159,Mobile,Canada,Email,0,1,2025-08-01 18:42:36,product_page
session_116,Tablet,Germany,Email,0,1,2025-08-09 08:34:48,product_page
session_1160,Desktop,India,Direct,0,1,2025-01-25 00:26:25,product_page
session_1161,Mobile,France,Google,1,4,2025-03-05 21:14:14,confirmation
session_1162,Mobile,India,Social Media,0,1,2025-06-14 00:45:10,product_page
session_1163,Tablet,Germany,Email,0,0,2025-06-08 04:40:38,home
session_1164,Mobile,India,Direct,0,2,2025-03-01 09:09:45,cart
session_1165,Desktop,USA,Direct,0,1,2025-07-23 17:04:06,product_page
session_1166,Tablet,India,Google,0,2,2025-07-04 05:26:31,cart
session_1167,Desktop,UK,Direct,0,1,2025-03-10 06:57:41,product_page
session_1168,Tablet,UK,Direct,0,3,2025-07-19 18:16:54,checkout
session_1169,Tablet,France,Email,1,4,2025-07-30 01:35:29,confirmation
session_117,Tablet,UK,Social Media,0,1,2025-05-04 20:49:01,product_page
session_1170,Tablet,Germany,Social Media,0,0,2025-07-10 15:06:49,home
session_1171,Tablet,Australia,Direct,0,1,2025-02-24 04:35:50,product_page
session_1172,Desktop,Australia,Email,1,4,2025-08-17 22:11:20,confirmation
session_1173,Desktop,UK,Social Media,0,1,2025-01-30 12:41:00,product_page
session_1174,Mobile,India,Social Media,0,1,2025-05-17 10:02:30,product_page
session_1175,Tablet,India,Google,1,4,2025-08-08 22:03:57,confirmation
session_1176,Desktop,UK,Social Media,0,1,2025-01-01 01:20:08,product_page
session_1177,Desktop,Canada,Google,0,1,2025-04-13 14:24:21,product_page
session_1178,Desktop,Canada,Google,1,4,2025-05-10 03:28:14,confirmation
session_1179,Mobile,UK,Google,0,0,2025-05-25 00:23:09,home
session_118,Mobile,USA,Direct,0,1,2025-02-10 09:54:26,product_page
session_1180,Mobile,Australia,Google,0,1,2025-07-09 02:08:47,product_page
session_1181,Tablet,Canada,Email,1,4,2025-03-26 21:15:12,confirmation
session_1182,Desktop,India,Social Media,0,1,2025-04-25 02:18:17,product_page
session_1183,Mobile,UK,Social Media,0,1,2025-02-05 03:27:09,product_page
session_1184,Desktop,Canada,Social Media,0,1,2025-08-13 13:55:25,product_page
session_1185,Mobile,Germany,Social Media,0,3,2025-03-29 23:13:01,checkout
session_1186,Mobile,Australia,Direct,0,1,2025-06-27 14:45:15,product_page
session_1187,Desktop,Germany,Email,1,4,2025-01-05 04:42:32,confirmation
session_1188,Desktop,Germany,Direct,0,1,2025-07-18 14:43:04,product_page
session_1189,Mobile,Canada,Google,0,1,2025-06-12 11:16:36,product_page
session_119,Tablet,UK,Social Media,1,4,2025-08-06 05:01:41,confirmation
session_1190,Mobile,Germany,Direct,0,1,2025-01-10 18:47:01,product_page
