SessionID,PageType,StepOrder,Timestamp,TimeOnPage_seconds,ItemsInCart
session_0,home,0,2025-01-20 22:53:34,55,0
session_1,home,0,2025-02-26 12:57:10,99,0
session_1,product_page,1,2025-02-26 12:59:11,121,0
session_2,home,0,2025-06-24 15:40:46,160,0
session_3,home,0,2025-06-11 07:21:02,113,0
session_4,home,0,2025-04-12 23:58:16,49,0
session_4,product_page,1,2025-04-13 00:00:31,135,4
session_5,home,0,2025-01-08 20:58:18,155,0
session_5,product_page,1,2025-01-08 20:59:57,99,0
session_5,cart,2,2025-01-08 21:00:23,26,5
session_5,checkout,3,2025-01-08 21:00:38,15,5
session_5,confirmation,4,2025-01-08 21:02:48,130,0
session_6,home,0,2025-05-07 06:16:05,145,0
session_7,home,0,2025-08-04 20:16:03,61,0
session_7,product_page,1,2025-08-04 20:18:12,129,1
session_8,home,0,2025-07-19 02:20:56,93,0
session_8,product_page,1,2025-07-19 02:23:13,137,2
session_9,home,0,2025-02-14 21:33:16,160,0
session_9,product_page,1,2025-02-14 21:35:08,112,5
session_9,cart,2,2025-02-14 21:37:41,153,5
session_10,home,0,2025-05-17 22:11:37,75,0
session_10,product_page,1,2025-05-17 22:13:33,116,0
session_11,home,0,2025-06-11 20:27:05,54,0
session_11,product_page,1,2025-06-11 20:28:26,81,4
session_11,cart,2,2025-06-11 20:30:19,113,4
session_12,home,0,2025-03-31 11:11:46,31,0
session_12,product_page,1,2025-03-31 11:14:13,147,1
session_12,cart,2,2025-03-31 11:15:45,92,1
session_13,home,0,2025-08-01 19:45:33,42,0
session_13,product_page,1,2025-08-01 19:48:24,171,5
session_13,cart,2,2025-08-01 19:50:48,144,5
session_14,home,0,2025-04-14 13:14:53,130,0
session_14,product_page,1,2025-04-14 13:16:10,77,0
session_15,home,0,2025-05-04 18:51:40,178,0
session_15,product_page,1,2025-05-04 18:53:36,116,5
session_15,cart,2,2025-05-04 18:55:53,137,5
session_16,home,0,2025-07-01 07:57:56,163,0
session_17,home,0,2025-06-02 13:09:58,47,0
session_17,product_page,1,2025-06-02 13:12:07,129,3
session_17,cart,2,2025-06-02 13:13:25,78,3
session_18,home,0,2025-05-11 10:48:00,78,0
session_18,product_page,1,2025-05-11 10:49:44,104,0
session_18,cart,2,2025-05-11 10:50:35,51,0
session_18,checkout,3,2025-05-11 10:52:57,142,2
session_18,confirmation,4,2025-05-11 10:53:55,58,0
session_19,home,0,2025-04-15 22:13:33,150,0
session_19,product_page,1,2025-04-15 22:14:07,34,4
session_20,home,0,2025-03-18 04:06:06,119,0
session_20,product_page,1,2025-03-18 04:07:30,84,0
session_21,home,0,2025-02-14 06:39:24,32,0
session_21,product_page,1,2025-02-14 06:40:39,75,5
session_22,home,0,2025-02-24 18:32:54,167,0
session_23,home,0,2025-04-18 05:34:24,63,0
session_23,product_page,1,2025-04-18 05:36:53,149,4
session_23,cart,2,2025-04-18 05:39:49,176,4
session_23,checkout,3,2025-04-18 05:41:22,93,4
session_23,confirmation,4,2025-04-18 05:42:40,78,0
session_24,home,0,2025-05-29 02:09:07,20,0
session_24,product_page,1,2025-05-29 02:10:36,89,0
session_25,home,0,2025-05-06 03:32:59,151,0
session_25,product_page,1,2025-05-06 03:35:59,180,3
session_26,home,0,2025-05-09 15:42:12,69,0
session_26,product_page,1,2025-05-09 15:42:45,33,0
session_27,home,0,2025-03-19 23:40:45,131,0
session_28,home,0,2025-08-26 05:06:48,141,0
session_29,home,0,2025-04-12 13:30:44,136,0
session_29,product_page,1,2025-04-12 13:32:47,123,0
session_30,home,0,2025-08-10 18:55:46,108,0
session_30,product_page,1,2025-08-10 18:58:07,141,1
session_31,home,0,2025-04-22 07:00:23,115,0
session_31,product_page,1,2025-04-22 07:01:10,47,4
session_32,home,0,2025-08-09 19:10:33,35,0
session_33,home,0,2025-07-07 00:26:21,55,0
session_33,product_page,1,2025-07-07 00:28:29,128,5
session_34,home,0,2025-08-09 14:02:55,84,0
session_34,product_page,1,2025-08-09 14:04:53,118,0
session_34,cart,2,2025-08-09 14:07:39,166,0
session_34,checkout,3,2025-08-09 14:08:36,57,1
session_34,confirmation,4,2025-08-09 14:10:56,140,0
session_35,home,0,2025-06-23 22:52:19,119,0
session_35,product_page,1,2025-06-23 22:53:52,93,0
session_36,home,0,2025-07-12 08:13:47,163,0
session_36,product_page,1,2025-07-12 08:15:48,121,2
session_37,home,0,2025-03-21 12:20:03,119,0
session_37,product_page,1,2025-03-21 12:22:57,174,1
session_37,cart,2,2025-03-21 12:24:32,95,1
session_37,checkout,3,2025-03-21 12:26:09,97,1
session_38,home,0,2025-05-02 01:18:12,148,0
session_39,home,0,2025-05-30 00:12:04,173,0
session_39,product_page,1,2025-05-30 00:12:31,27,3
session_39,cart,2,2025-05-30 00:14:25,114,3
session_39,checkout,3,2025-05-30 00:15:08,43,3
session_39,confirmation,4,2025-05-30 00:15:54,46,0
session_40,home,0,2025-02-18 11:25:39,162,0
session_40,product_page,1,2025-02-18 11:27:14,95,0
session_40,cart,2,2025-02-18 11:27:44,30,4
session_40,checkout,3,2025-02-18 11:29:09,85,4
session_41,home,0,2025-05-21 01:00:06,166,0
session_42,home,0,2025-04-05 02:30:40,94,0
session_43,home,0,2025-05-04 23:24:28,114,0
session_43,product_page,1,2025-05-04 23:27:25,177,4
session_44,home,0,2025-03-10 08:18:17,39,0
session_45,home,0,2025-08-07 00:20:02,25,0
session_46,home,0,2025-07-11 01:55:27,80,0
session_47,home,0,2025-04-13 09:15:08,32,0
session_47,product_page,1,2025-04-13 09:16:40,92,0
session_47,cart,2,2025-04-13 09:18:53,133,1
session_47,checkout,3,2025-04-13 09:20:35,102,1
session_47,confirmation,4,2025-04-13 09:23:05,150,0
session_48,home,0,2025-02-04 00:57:05,152,0
session_48,product_page,1,2025-02-04 00:57:51,46,2
session_49,home,0,2025-06-04 19:27:55,124,0
session_49,product_page,1,2025-06-04 19:30:21,146,2
session_49,cart,2,2025-06-04 19:31:52,91,2
session_49,checkout,3,2025-06-04 19:33:10,78,2
session_49,confirmation,4,2025-06-04 19:33:47,37,0
session_50,home,0,2025-06-27 16:43:33,129,0
session_50,product_page,1,2025-06-27 16:45:51,138,0
session_51,home,0,2025-08-21 18:07:50,82,0
session_51,product_page,1,2025-08-21 18:10:37,167,0
