dimension,segment_value,step,step_order,sessions,pct_of_segment_home
DeviceType,Desktop,home,0,1666,100.0
DeviceType,Desktop,product_page,1,1321,79.29
DeviceType,Desktop,cart,2,529,31.75
DeviceType,Desktop,checkout,3,385,23.11
DeviceType,Desktop,confirmation,4,339,20.35
DeviceType,Mobile,home,0,1671,100.0
DeviceType,Mobile,product_page,1,1342,80.31
DeviceType,Mobile,cart,2,537,32.14
DeviceType,Mobile,checkout,3,369,22.08
DeviceType,Mobile,confirmation,4,337,20.17
DeviceType,Tablet,home,0,1663,100.0
DeviceType,Tablet,product_page,1,1324,79.62
DeviceType,Tablet,cart,2,533,32.05
DeviceType,Tablet,checkout,3,369,22.19
DeviceType,Tablet,confirmation,4,334,20.08
Country,Australia,home,0,683,100.0
Country,Australia,product_page,1,538,78.77
Country,Australia,cart,2,219,32.06
Country,Australia,checkout,3,148,21.67
Country,Australia,confirmation,4,131,19.18
Country,Canada,home,0,715,100.0
Country,Canada,product_page,1,581,81.26
Country,Canada,cart,2,234,32.73
Country,Canada,checkout,3,155,21.68
Country,Canada,confirmation,4,140,19.58
Country,France,home,0,752,100.0
Country,France,product_page,1,616,81.91
Country,France,cart,2,254,33.78
Country,France,checkout,3,188,25.0
Country,France,confirmation,4,170,22.61
Country,Germany,home,0,703,100.0
Country,Germany,product_page,1,536,76.24
Country,Germany,cart,2,212,30.16
Country,Germany,checkout,3,155,22.05
Country,Germany,confirmation,4,132,18.78
Country,India,home,0,702,100.0
Country,India,product_page,1,564,80.34
Country,India,cart,2,226,32.19
Country,India,checkout,3,157,22.36
Country,India,confirmation,4,145,20.66
Country,UK,home,0,739,100.0
Country,UK,product_page,1,586,79.3
Country,UK,cart,2,228,30.85
Country,UK,checkout,3,157,21.24
Country,UK,confirmation,4,145,19.62
Country,USA,home,0,706,100.0
Country,USA,product_page,1,566,80.17
Country,USA,cart,2,226,32.01
Country,USA,checkout,3,163,23.09
Country,USA,confirmation,4,147,20.82
ReferralSource,Direct,home,0,1226,100.0
ReferralSource,Direct,product_page,1,966,78.79
ReferralSource,Direct,cart,2,386,31.48
ReferralSource,Direct,checkout,3,267,21.78
ReferralSource,Direct,confirmation,4,243,19.82
ReferralSource,Email,home,0,1251,100.0
ReferralSource,Email,product_page,1,1020,81.53
ReferralSource,Email,cart,2,408,32.61
ReferralSource,Email,checkout,3,282,22.54
ReferralSource,Email,confirmation,4,251,20.06
ReferralSource,Google,home,0,1280,100.0
ReferralSource,Google,product_page,1,1014,79.22
ReferralSource,Google,cart,2,427,33.36
ReferralSource,Google,checkout,3,306,23.91
ReferralSource,Google,confirmation,4,277,21.64
ReferralSource,Social Media,home,0,1243,100.0
ReferralSource,Social Media,product_page,1,987,79.4
ReferralSource,Social Media,cart,2,378,30.41
ReferralSource,Social Media,checkout,3,268,21.56
ReferralSource,Social Media,confirmation,4,239,19.23
